id,username,created_at,lng,lat,text
1517276876636573697,511nyAlbany,Thu Apr 21 22:59:31 +0000 2022,-73.663771,42.539455,Incident on #US20 WB at David Way https://t.co/7YSQlVAUYO
1517276876389158919,511NY,Thu Apr 21 22:59:31 +0000 2022,-73.690696,42.4076,Incident on #US9 NB at NY 9H; Valatie https://t.co/o48Hi0wKh5
1517276877429256192,tmj_lax_banking,Thu Apr 21 22:59:31 +0000 2022,-118.2436849,34.0522342,"Want to work at City National Bank? We're hiring in #LosAngeles, CA! Click the link in our bio for details on this… https://t.co/SlMMYx6wtp"
1517276877475524610,511NY,Thu Apr 21 22:59:31 +0000 2022,-74.030876,40.616622,Updated: Construction on #RLine Both directions from Bay Ridge - 95 St to 36 St https://t.co/RLQ8HQ8oZO
1517276878385545221,pableazy94,Thu Apr 21 22:59:32 +0000 2022,-117.8874385,33.739992,@speakhersex_ The Weeknd forsure
1517276879820136450,robpetrozzo,Thu Apr 21 22:59:32 +0000 2022,-73.9685415,40.780709,@rrhoover @OnRallyRd *big liquidity. 🤦‍♂️(It’s “buggy” sometimes too but that tends to happen w/ growing platform)
1517276879694225408,magggwai,Thu Apr 21 22:59:32 +0000 2022,-97.552161,35.4828435,Final results:Pride: 12.5%Greed: 8.33%Lust: 33.33%Envy: 4.17%Gluttony: 8.33%Wrath: 4.17%Sloth: 29.17%By t… https://t.co/nFR0yPDWIg
1517276879958462466,SouthAtxOG,Thu Apr 21 22:59:32 +0000 2022,-97.754724,30.323345500000002,@anguiano_austin The best work in town.🤣
1517276880017281025,MCampbell1041,Thu Apr 21 22:59:32 +0000 2022,-85.862216,39.783626999999996,@WatcherontheWeb @Future_Conflict @TheLegalMindset @MScottMcCulloug @TheVirginiaGen1 @DolioJ @COLMikeBennett1… https://t.co/QUYa6GPUYL
1517276882567315456,gigglequeen69,Thu Apr 21 22:59:33 +0000 2022,-94.808085,38.886623,@TylerReneHarper @NWSKansasCity Sandstone creek? I used to live there! 😃
1517276882013724675,orangeparty2003,Thu Apr 21 22:59:32 +0000 2022,-78.72193,35.803405,@KristinBaetz #caniacsmiles Let’s Go Canes! https://t.co/OIZtVn7TXK
